,Mission Area,Office/Division/National Program,Program,Program Category,URL,Domain,Description,Notes,Program Types,Cost/Budget,KPI,Inactive?,Broken Link on portal,Not a program?,Reviewed By
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,Cotton & Tobacco Program,Regulatory Programs,https://www.ams.usda.gov/about-ams/programs-offices/cotton-tobacco,ams.usda.gov,"The Agricultural Marketing Service’s Cotton and Tobacco Program, based in Memphis, TN, facilitate the domestic and international fair marketing of cotton and tobacco through a variety of services used by industry to measure quality, ensure consistency and report market activity. The program’s standards are used by more than 50 countries for the instrument and visual grading of cotton and tobacco.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,Commodity Procurement,Commodity Procurement Programs,https://www.ams.usda.gov/about-ams/programs-offices/commodity-procurement,ams.usda.gov,"USDA’s Agricultural Marketing Service (AMS) purchases a variety of domestically produced and processed commodity food products, through a competitive process among approved vendors. These purchases made by the AMS Commodity Procurement Program (CP) support American agriculture by encouraging the consumption of domestic foods. AMS-CP manages the Web-Based Supply Chain Management (WBSCM), the fully integrated, web-based ordering and procurement system used for the purchase of USDA Foods",,Procurement,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,Dairy Program,Regulatory Programs,https://www.ams.usda.gov/about-ams/programs-offices/dairy-program,ams.usda.gov,"The mission of the Dairy Program is to facilitate the efficient marketing of milk and dairy products.
 
Dairy Programs’ vision is to be efficient, effective, and innovative in program service delivery in the continually changing industry and government environments and to provide excellence in customer service and industry relations with highly skilled and motivated employees.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,Fair Trade Practices,Regulatory Programs,https://www.ams.usda.gov/about-ams/programs-offices/fair-trade-practices,ams.usda.gov,"The Fair Trade Practices Program is comprised of 4 divisions: the Food Disclosure and Labeling Division, the Packers and Stockyards Division, the Perishable Agricultural Commodities Act Division, and the Warehouse and Commodity Management Division.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,Federal Grain Inspection Service,Regulatory Programs,https://www.ams.usda.gov/about-ams/programs-offices/federal-grain-inspection-service,ams.usda.gov,"FGIS was created by Congress in 1976 to manage the national grain inspection system, which was initially established in 1916, and to institute a national grain weighing program. Today FGIS facilitates the marketing of U.S. grain and related products by establishing standards for quality assessments, regulating handling practices, and managing a network of Federal, State, and private laboratories that provide impartial official inspection and weighing services.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,"Livestock, Poultry & Seed Program",Regulatory Programs,https://www.ams.usda.gov/about-ams/programs-offices/livestock-poultry-program,ams.usda.gov,"The AMS Livestock & Poultry Program is a team of Federal and State employees who operate under Federal oversight through cooperative agreements with all 50 States. This work is carried out through five different L&P Divisions. L&P administers a wide range of the Agency's programs related to the livestock, meat, poultry, egg, fish, and grain industries as well as regulatory and support functions that extend to other commodities.",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,National Organic Program,Regulatory Programs,https://www.ams.usda.gov/about-ams/programs-offices/national-organic-program,ams.usda.gov,"The National Organic Program (NOP) is a regulatory program housed within the USDA Agricultural Marketing Service. We are responsible for developing national standards for organically-produced agricultural products. These standards assure consumers that products with the USDA organic seal meet consistent, uniform standards. Our regulations do not address food safety or nutrition.",,Regulatory,"$8,100,000",,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,Science & Technology Program,Regulatory Programs,https://www.ams.usda.gov/about-ams/programs-offices/science-technology-program,ams.usda.gov,"The Science & Technology Program (S&T) provides scientific, certification and analytical services to the agricultural community to improve the quality, wholesomeness and marketing of agricultural products domestically and internationally. S&T provides support to USDA Agencies, Federal and State agencies, and private sector food and agricultural industries. S&T is organized into four divisions: Laboratory Approval & Testing Division (LATD); Monitoring Programs Division (MPD); the Plant Variety Protection Office (PVPO); and the Seed Regulatory and Testing Division (SRTD).",,Regulatory,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,Specialty Crops Program,Emphasis Area Programs,https://www.ams.usda.gov/about-ams/programs-offices/specialty-crops-program,ams.usda.gov,"The AMS Specialty Crops Program helps buyers and sellers of all sizes in the U.S. produce industry to market their perishable products in the most efficient manner. We partner with State agencies and other industry organizations for the benefit of nationwide growers, shippers, brokers, receivers, processors, retailers and restaurants, direct to consumer sales, and the foodservice industry.",,Emphasis Area,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,Transportation & Marketing Program,Research & Grant Programs,https://www.ams.usda.gov/about-ams/programs-offices/transportation-marketing-program,ams.usda.gov,"The AMS Transportation and Marketing Program supports local and regional food systems and increasing consumer access to fresh, healthy foods in our community. Our programs, grants and services help small- and mid-sized producers with marketing opportunities through the combination of applied research, technical services and grant support.",,Grants,,,,,,Erik Bethke
Agricultural Marketing Service (AMS),Farm Production and Conservation (FPAC),,AMS - WBSCM,Commodity Procurement Programs,https://www.ams.usda.gov/selling-food/wbscm,ams.usda.gov,"Web-Based Supply Chain Management (WBSCM) is a fully integrated, web-based ordering and procurement system. All federal food and commodity orders, solicitations, offers, awards, deliveries, invoices, and payments occur in WBSCM, and all business partners in the commodity program are required to use this system.",,Procurement,,,,,,Erik Bethke
